,ci_test_results,z_test_results,z_test_p_values,mean_diff
AC011476.23,True,False,0.10431930371444013,2.75792696350734
AC011476.3,False,True,6.08419321906647e-08,-3.9975397698445203
AC011476.4,True,False,0.6047999452585462,-0.18361448164219984
AC011476.5,True,False,0.17048461958009908,0.6267244748057001
AC011476.6,True,False,0.2932631435309708,-1.550751811753352
AC011476.7,True,False,0.1642336549149528,1.11013026425894
AC011476.8,True,False,0.5895778455528886,-0.7662018631008003
AC011476.9,True,False,0.6128333800829628,0.3562181091630199
AC012005.3,True,True,0.021295385653874437,1.03154847754032
AC012314.1,True,False,0.4335981568997819,-0.31435378681139997
AC012314.10,True,False,0.8238746430647804,0.1200174455040397
AC012314.11,True,False,0.14551484151447108,-1.7240247638715045
AC012314.12,True,False,0.33557800772921864,1.5281311745083999
AC012314.13,True,False,0.24673168484331554,1.0988668937596
AC012314.14,True,False,0.13906954283309647,-0.17974884460450055
AC012314.15,True,False,0.41147552976945234,0.6321305384120831
AC012314.16,True,False,0.48251825631203027,-0.3619130536152002
AC012314.17,True,False,0.4662227128451959,-0.5867552571107544
AC012314.18,True,False,0.777807180045763,0.06209387204776007
